,Code région,Nom de la région,Code département,Code arrondissement départemental,Code canton,Code_commune,Nom de la commune,Population municipale,Population comptée à part,Population totale,Année recensement,Année utilisation,Code INSEE (commune ou arrondissement),Superficie de la commune,Statut,Code INSEE de la commune,Nom de la commune IGN,Nom du département IGN,Nom de la région.1,Code EPCI,Code EPCI.1,EPCI,Année
57,4,La Réunion,974,4,36,423,Les Trois-Bassins,6807,94,6901,1970-01-01 00:00:00.000002006,2009,97423,42.48,Commune,97423,,,,,,,1970
58,4,La Réunion,974,2,16,424,Cilaos,5403,86,5489,1970-01-01 00:00:00.000002016,2019,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
59,4,La Réunion,974,2,96,414,Saint-Louis,52038,469,52507,1970-01-01 00:00:00.000002010,2013,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
60,4,La Réunion,974,1,30,418,Sainte-Marie,30367,351,30718,1970-01-01 00:00:00.000002009,2012,97418,88.65,Commune,97418,,,,,,,1970
61,4,La Réunion,974,1,4,420,Sainte-Suzanne,22209,196,22405,1970-01-01 00:00:00.000002013,2016,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
62,4,La Réunion,974,2,16,403,Entre-Deux,6634,67,6701,1970-01-01 00:00:00.000002014,2017,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
63,4,La Réunion,974,3,2,402,Bras-Panon,12298,145,12443,1970-01-01 00:00:00.000002012,2015,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
64,4,La Réunion,974,3,92,409,Saint-André,54721,413,55134,1970-01-01 00:00:00.000002012,2015,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
65,4,La Réunion,974,3,8,419,Sainte-Rose,6520,80,6600,1970-01-01 00:00:00.000002016,2019,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
66,4,La Réunion,974,2,96,414,Saint-Louis,50131,475,50606,1970-01-01 00:00:00.000002007,2010,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
67,4,La Réunion,974,3,31,419,Sainte-Rose,6680,66,6746,1970-01-01 00:00:00.000002007,2010,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,,,,1970
68,4,La Réunion,974,3,7,406,La Plaine-des-Palmistes,5741,90,5831,1970-01-01 00:00:00.000002013,2016,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
69,4,La Réunion,974,3,92,410,Saint-Benoît,36131,302,36433,1970-01-01 00:00:00.000002013,2016,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
70,4,La Réunion,974,2,94,412,Saint-Joseph,37550,546,38096,1970-01-01 00:00:00.000002013,2016,97412,177.85,Commune,97412,,,,249740085.0,249740085.0,CA du Sud,1970
71,4,La Réunion,974,2,4,404,L' Étang-Salé,13266,191,13457,1970-01-01 00:00:00.000002006,2009,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
