code postal;date;nombre d'inscrits;Code_commune_INSEE;Nom_commune
97470;2018-06-30;6940;97410;ST BENOIT
97400;2020-02-29;27650;97411;ST DENIS
97439;2019-07-31;1480;97419;STE ROSE
97470;2019-12-31;6720;97410;ST BENOIT
97400;2020-03-31;27610;97411;ST DENIS
97439;2019-08-31;1490;97419;STE ROSE
97470;2020-04-30;6800;97410;ST BENOIT
97400;2020-04-30;27790;97411;ST DENIS
97439;2019-10-31;1490;97419;STE ROSE
97470;2020-08-31;6960;97410;ST BENOIT
97400;2020-06-30;27820;97411;ST DENIS
97439;2020-02-29;1420;97419;STE ROSE
97470;2020-10-31;6960;97410;ST BENOIT
97400;2020-09-30;28360;97411;ST DENIS
97439;2020-04-30;1440;97419;STE ROSE
97470;2020-12-31;6850;97410;ST BENOIT
97400;2020-10-31;28260;97411;ST DENIS
97439;2020-05-31;1430;97419;STE ROSE
97470;2021-02-28;7010;97410;ST BENOIT
97400;2021-01-31;27930;97411;ST DENIS
97439;2020-07-31;1450;97419;STE ROSE
97470;2021-04-30;6990;97410;ST BENOIT
97400;2021-08-31;28060;97411;ST DENIS
97439;2021-04-30;1470;97419;STE ROSE
97470;2021-05-31;6960;97410;ST BENOIT
97400;2021-12-31;27640;97411;ST DENIS
97439;2021-07-31;1460;97419;STE ROSE
97470;2021-07-31;6900;97410;ST BENOIT
97400;2022-01-31;27670;97411;ST DENIS
97439;2021-08-31;1480;97419;STE ROSE
97470;2021-10-31;6970;97410;ST BENOIT
97400;2022-03-31;27680;97411;ST DENIS
97439;2022-01-31;1480;97419;STE ROSE
97470;2021-12-31;6940;97410;ST BENOIT
97400;2022-06-30;26860;97411;ST DENIS
97439;2022-03-31;1470;97419;STE ROSE
97470;2022-02-28;6990;97410;ST BENOIT
97400;2022-08-31;27410;97411;ST DENIS
97439;2022-05-31;1470;97419;STE ROSE
97470;2022-03-31;7020;97410;ST BENOIT
97400;2022-09-30;27420;97411;ST DENIS
97439;2022-08-31;1490;97419;STE ROSE
97470;2022-04-30;6970;97410;ST BENOIT
97400;2022-11-30;27380;97411;ST DENIS
97439;2022-10-31;1460;97419;STE ROSE
97470;2022-05-31;6980;97410;ST BENOIT
97400;2022-12-31;26840;97411;ST DENIS
97441;2016-09-30;4390;97420;STE SUZANNE
97470;2022-09-30;7040;97410;ST BENOIT
97438;2016-09-30;6100;97418;STE MARIE
97441;2016-10-31;4380;97420;STE SUZANNE
97470;2022-10-31;7050;97410;ST BENOIT
97438;2017-03-31;6020;97418;STE MARIE
97441;2016-12-31;4400;97420;STE SUZANNE
97470;2022-12-31;7010;97410;ST BENOIT
97438;2017-10-31;6140;97418;STE MARIE
97441;2017-01-31;4400;97420;STE SUZANNE
97400;2016-10-31;26770;97411;ST DENIS
97438;2017-12-31;6050;97418;STE MARIE
97441;2017-06-30;4190;97420;STE SUZANNE
97400;2017-02-28;27200;97411;ST DENIS
97438;2019-04-30;6310;97418;STE MARIE
97441;2017-08-31;4300;97420;STE SUZANNE
97400;2017-06-30;27020;97411;ST DENIS
97438;2019-05-31;6310;97418;STE MARIE
97441;2017-10-31;4270;97420;STE SUZANNE
97400;2017-09-30;27600;97411;ST DENIS
97438;2019-07-31;6390;97418;STE MARIE
97441;2017-12-31;4230;97420;STE SUZANNE
97400;2017-10-31;27560;97411;ST DENIS
97438;2019-09-30;6370;97418;STE MARIE
97441;2018-01-31;4300;97420;STE SUZANNE
97400;2017-12-31;27050;97411;ST DENIS
97438;2020-01-31;6330;97418;STE MARIE
97441;2018-02-28;4260;97420;STE SUZANNE
97400;2018-05-31;27830;97411;ST DENIS
97438;2020-03-31;6210;97418;STE MARIE
97441;2018-07-31;4250;97420;STE SUZANNE
97400;2018-09-30;28290;97411;ST DENIS
97438;2021-01-31;6390;97418;STE MARIE
97441;2018-08-31;4300;97420;STE SUZANNE
97400;2019-02-28;28390;97411;ST DENIS
97438;2021-04-30;6430;97418;STE MARIE
97441;2018-09-30;4290;97420;STE SUZANNE
97400;2019-04-30;28230;97411;ST DENIS
97438;2021-06-30;6430;97418;STE MARIE
97441;2019-05-31;4270;97420;STE SUZANNE
97400;2019-09-30;28560;97411;ST DENIS
97438;2021-10-31;6400;97418;STE MARIE
97441;2019-12-31;4230;97420;STE SUZANNE
97400;2019-12-31;27490;97411;ST DENIS
97438;2021-11-30;6350;97418;STE MARIE
97441;2021-02-28;4320;97420;STE SUZANNE
97400;2020-07-31;28040;97411;ST DENIS
97438;2021-12-31;6280;97418;STE MARIE
97441;2021-04-30;4240;97420;STE SUZANNE
97400;2020-08-31;28280;97411;ST DENIS
97438;2022-01-31;6350;97418;STE MARIE
97441;2021-05-31;4260;97420;STE SUZANNE
97400;2021-05-31;27770;97411;ST DENIS
97438;2022-03-31;6370;97418;STE MARIE
97441;2021-09-30;4330;97420;STE SUZANNE
97400;2021-07-31;27890;97411;ST DENIS
97438;2022-08-31;6420;97418;STE MARIE
97441;2021-10-31;4300;97420;STE SUZANNE
97400;2021-10-31;27870;97411;ST DENIS
97438;2022-09-30;6410;97418;STE MARIE
97441;2021-12-31;4260;97420;STE SUZANNE
97400;2021-11-30;27870;97411;ST DENIS
97439;2016-08-31;1660;97419;STE ROSE
97441;2022-05-31;4230;97420;STE SUZANNE
97400;2022-04-30;27410;97411;ST DENIS
97439;2017-06-30;1550;97419;STE ROSE
97441;2022-07-31;4300;97420;STE SUZANNE
97400;2022-07-31;26970;97411;ST DENIS
97439;2017-09-30;1540;97419;STE ROSE
97480;2016-08-31;9540;97412;ST JOSEPH
97400;2022-10-31;27380;97411;ST DENIS
97439;2017-12-31;1530;97419;STE ROSE
97480;2017-02-28;9540;97412;ST JOSEPH
97438;2016-07-31;6080;97418;STE MARIE
97439;2018-09-30;1540;97419;STE ROSE
97480;2017-03-31;9510;97412;ST JOSEPH
97438;2016-10-31;6020;97418;STE MARIE
97439;2019-03-31;1490;97419;STE ROSE
97480;2017-06-30;9500;97412;ST JOSEPH
97438;2016-12-31;6010;97418;STE MARIE
97439;2019-12-31;1420;97419;STE ROSE
97480;2017-09-30;9620;97412;ST JOSEPH
97438;2017-04-30;5950;97418;STE MARIE
97439;2020-01-31;1460;97419;STE ROSE
97480;2018-05-31;9660;97412;ST JOSEPH
97438;2017-06-30;5950;97418;STE MARIE
97439;2020-03-31;1440;97419;STE ROSE
97480;2018-07-31;9710;97412;ST JOSEPH
97438;2017-08-31;6170;97418;STE MARIE
97439;2020-09-30;1430;97419;STE ROSE
97480;2018-08-31;9700;97412;ST JOSEPH
97438;2017-09-30;6120;97418;STE MARIE
97439;2020-11-30;1440;97419;STE ROSE
97480;2018-10-31;9640;97412;ST JOSEPH
97438;2017-11-30;6120;97418;STE MARIE
97439;2021-01-31;1490;97419;STE ROSE
97480;2018-11-30;9590;97412;ST JOSEPH
97438;2018-01-31;6120;97418;STE MARIE
97439;2021-11-30;1480;97419;STE ROSE
97480;2019-01-31;9680;97412;ST JOSEPH
97438;2018-03-31;6130;97418;STE MARIE
97439;2022-02-28;1480;97419;STE ROSE
97480;2019-03-31;9670;97412;ST JOSEPH
97438;2018-06-30;6160;97418;STE MARIE
97439;2022-04-30;1470;97419;STE ROSE
97480;2019-04-30;9620;97412;ST JOSEPH
97438;2018-09-30;6230;97418;STE MARIE
97439;2022-07-31;1500;97419;STE ROSE
97480;2019-09-30;9450;97412;ST JOSEPH
97438;2018-10-31;6320;97418;STE MARIE
97439;2022-11-30;1480;97419;STE ROSE
97480;2020-07-31;9290;97412;ST JOSEPH
97438;2019-01-31;6360;97418;STE MARIE
97441;2016-11-30;4410;97420;STE SUZANNE
97480;2020-08-31;9360;97412;ST JOSEPH
97438;2019-02-28;6320;97418;STE MARIE
97441;2017-02-28;4400;97420;STE SUZANNE
97480;2020-09-30;9410;97412;ST JOSEPH
97438;2019-10-31;6360;97418;STE MARIE
97441;2017-03-31;4350;97420;STE SUZANNE
97480;2020-12-31;9240;97412;ST JOSEPH
97438;2020-04-30;6300;97418;STE MARIE
97441;2017-05-31;4220;97420;STE SUZANNE
97480;2021-12-31;8930;97412;ST JOSEPH
97438;2020-05-31;6320;97418;STE MARIE
97441;2017-07-31;4210;97420;STE SUZANNE
97480;2022-06-30;8870;97412;ST JOSEPH
97438;2020-06-30;6310;97418;STE MARIE
97441;2017-11-30;4290;97420;STE SUZANNE
